Machine Module,N9343C,CN0605A247
+2.660869565e+07,+5.462268900e-01,
+2.678260870e+07,+5.424906678e-01,
+2.695652174e+07,+5.400334304e-01,
+2.713043478e+07,+5.377960165e-01,
+2.730434783e+07,+5.324593933e-01,
+2.747826087e+07,+5.269466512e-01,
+2.765217391e+07,+5.289382402e-01,
+2.782608696e+07,+5.244530519e-01,
+2.800000000e+07,+5.213647184e-01,
+2.817391304e+07,+5.196860657e-01,
+2.834782609e+07,+5.154089064e-01,
+2.852173913e+07,+5.101490331e-01,
+2.869565217e+07,+5.099309121e-01,
+2.886956522e+07,+5.051330352e-01,
+2.904347826e+07,+5.003284131e-01,
+2.921739130e+07,+5.005855701e-01,
+2.939130435e+07,+4.967866708e-01,
+2.956521739e+07,+4.923329930e-01,
+2.973913043e+07,+4.903483879e-01,
+2.991304348e+07,+4.880313802e-01,
+3.008695652e+07,+4.815606120e-01,
+3.026086957e+07,+4.837955567e-01,
+3.043478261e+07,+4.791756052e-01,
+3.060869565e+07,+4.766783551e-01,
+3.078260870e+07,+4.731898964e-01,
+3.095652174e+07,+4.721750983e-01,
+3.113043478e+07,+4.673144894e-01,
+3.130434783e+07,+4.680305182e-01,
+3.147826087e+07,+4.657819656e-01,
+3.165217391e+07,+4.622171178e-01,
+3.182608696e+07,+4.638655776e-01,
+3.200000000e+07,+4.581100714e-01,
+3.217391304e+07,+4.534909336e-01,
+3.234782609e+07,+4.526411939e-01,
+3.252173913e+07,+4.526816749e-01,
+3.269565217e+07,+4.495042363e-01,
+3.286956522e+07,+4.496827594e-01,
+3.304347826e+07,+4.456627921e-01,
+3.321739130e+07,+4.442794610e-01,
+3.339130435e+07,+4.429496629e-01,
+3.356521739e+07,+4.410185668e-01,
+3.373913043e+07,+4.397526509e-01,
+3.391304348e+07,+4.405715438e-01,
+3.408695652e+07,+4.371300927e-01,
+3.426086957e+07,+4.358178178e-01,
+3.443478261e+07,+4.360290353e-01,
+3.460869565e+07,+4.340308602e-01,
+3.478260870e+07,+4.313564560e-01,
+3.495652174e+07,+4.352903650e-01,
+3.513043478e+07,+4.327157502e-01,
+3.530434783e+07,+4.329596659e-01,
+3.547826087e+07,+4.320357701e-01,
+3.565217391e+07,+4.312067261e-01,
+3.582608696e+07,+4.297823987e-01,
+3.600000000e+07,+4.314235246e-01,
+3.617391304e+07,+4.294566162e-01,
+3.634782609e+07,+4.296278376e-01,
+3.652173913e+07,+4.288897220e-01,
+3.669565217e+07,+4.278582271e-01,
+3.686956522e+07,+4.254894381e-01,
+3.704347826e+07,+4.263829726e-01,
+3.721739130e+07,+4.269486628e-01,
+3.739130435e+07,+4.257104900e-01,
+3.756521739e+07,+4.268237300e-01,
+3.773913043e+07,+4.257540551e-01,
+3.791304348e+07,+4.253382188e-01,
+3.808695652e+07,+4.271543391e-01,
+3.826086957e+07,+4.262974968e-01,
+3.843478261e+07,+4.266773302e-01,
+3.860869565e+07,+4.281408169e-01,
+3.878260870e+07,+4.279694832e-01,
+3.895652174e+07,+4.266307664e-01,
+3.913043478e+07,+4.284116690e-01,
+3.930434783e+07,+4.269387250e-01,
+3.947826087e+07,+4.252599329e-01,
+3.965217391e+07,+4.277899045e-01,
+3.982608696e+07,+4.266928135e-01,
+4.000000000e+07,+4.260953442e-01,
+4.017391304e+07,+4.300147223e-01,
+4.034782609e+07,+4.300270925e-01,
+4.052173913e+07,+4.278209290e-01,
+4.069565217e+07,+4.321163946e-01,
+4.086956522e+07,+4.312379747e-01,
+4.104347826e+07,+4.309078007e-01,
+4.121739130e+07,+4.346345891e-01,
+4.139130435e+07,+4.358697392e-01,
+4.156521739e+07,+4.348259688e-01,
+4.173913043e+07,+4.383047633e-01,
+4.191304348e+07,+4.381006687e-01,
+4.208695652e+07,+4.378306133e-01,
+4.226086957e+07,+4.400312838e-01,
+4.243478261e+07,+4.415138142e-01,
+4.260869565e+07,+4.391950946e-01,
+4.278260870e+07,+4.428625436e-01,
+4.295652174e+07,+4.446643313e-01,
+4.313043478e+07,+4.437999440e-01,
+4.330434783e+07,+4.440892596e-01,
+4.347826087e+07,+4.432315624e-01,
+4.365217391e+07,+4.424251397e-01,
+4.382608696e+07,+4.430391585e-01,
+4.400000000e+07,+4.425051037e-01,
+4.417391304e+07,+4.398503142e-01,
+4.434782609e+07,+4.418253363e-01,
+4.452173913e+07,+4.407902678e-01,
+4.469565217e+07,+4.397719163e-01,
+4.486956522e+07,+4.398149887e-01,
+4.504347826e+07,+4.377978294e-01,
+4.521739130e+07,+4.366291197e-01,
+4.539130435e+07,+4.379332109e-01,
+4.556521739e+07,+4.345567153e-01,
+4.573913043e+07,+4.308808338e-01,
+4.591304348e+07,+4.315242418e-01,
+4.608695652e+07,+4.320558833e-01,
+4.626086957e+07,+4.288446590e-01,
+4.643478261e+07,+4.301588430e-01,
+4.660869565e+07,+4.324338205e-01,
+4.678260870e+07,+4.341469627e-01,
+4.695652174e+07,+4.361870487e-01,
+4.713043478e+07,+4.367556997e-01,
+4.730434783e+07,+4.370745900e-01,
+4.747826087e+07,+4.407848473e-01,
+4.765217391e+07,+4.431891285e-01,
+4.782608696e+07,+4.446872783e-01,
+4.800000000e+07,+4.495816296e-01,
+4.817391304e+07,+4.516311896e-01,
+4.834782609e+07,+4.523770759e-01,
+4.852173913e+07,+4.575599345e-01,
+4.869565217e+07,+4.608457983e-01,
+4.886956522e+07,+4.628330177e-01,
+4.904347826e+07,+4.694134501e-01,
+4.921739130e+07,+4.716058703e-01,
+4.939130435e+07,+4.743088836e-01,
+4.956521739e+07,+4.799803678e-01,
+4.973913043e+07,+4.873672059e-01,
+4.991304348e+07,+4.859764129e-01,
+5.008695652e+07,+4.988892394e-01,
+5.026086957e+07,+5.022628798e-01,
+5.043478261e+07,+5.055642381e-01,
+5.060869565e+07,+5.119942121e-01,
+5.078260870e+07,+5.151370927e-01,
+5.095652174e+07,+5.174918717e-01,
+5.113043478e+07,+5.249223596e-01,
+5.130434783e+07,+5.291248397e-01,
+5.147826087e+07,+5.316258256e-01,
+5.165217391e+07,+5.395111896e-01,
+5.182608696e+07,+5.436161189e-01,
+5.200000000e+07,+5.462465617e-01,
+5.217391304e+07,+5.535505387e-01,
+5.234782609e+07,+5.580759859e-01,
+5.252173913e+07,+5.603628546e-01,
+5.269565217e+07,+5.651455302e-01,
+5.286956522e+07,+5.713657724e-01,
+5.304347826e+07,+5.735265024e-01,
+5.321739130e+07,+5.820502311e-01,
+5.339130435e+07,+5.864519400e-01,
+5.356521739e+07,+5.888648820e-01,
+5.373913043e+07,+5.965398009e-01,
+5.391304348e+07,+5.969230848e-01,
+5.408695652e+07,+6.020548832e-01,
+5.426086957e+07,+6.093594733e-01,
+5.443478261e+07,+6.150703945e-01,
+5.460869565e+07,+6.152620131e-01,
+5.478260870e+07,+6.253260421e-01,
+5.495652174e+07,+6.258477872e-01,
+5.513043478e+07,+6.274389203e-01,
+5.530434783e+07,+6.377857365e-01,
+5.547826087e+07,+6.437542336e-01,
+5.565217391e+07,+6.454601974e-01,
+5.582608696e+07,+6.542733994e-01,
+5.600000000e+07,+6.565181804e-01,
+5.617391304e+07,+6.585931887e-01,
+5.634782609e+07,+6.637341994e-01,
+5.652173913e+07,+6.711163284e-01,
+5.669565217e+07,+6.705121562e-01,
+5.686956522e+07,+6.771175165e-01,
+5.704347826e+07,+6.799258207e-01,
+5.721739130e+07,+6.799741976e-01,
+5.739130435e+07,+6.869991523e-01,
+5.756521739e+07,+6.882593782e-01,
+5.773913043e+07,+6.898983561e-01,
+5.791304348e+07,+6.971303114e-01,
+5.808695652e+07,+7.015558737e-01,
+5.826086957e+07,+6.997904625e-01,
+5.843478261e+07,+7.069505921e-01,
+5.860869565e+07,+7.094388075e-01,
+5.878260870e+07,+7.104694621e-01,
+5.895652174e+07,+7.173959811e-01,
+5.913043478e+07,+7.192151250e-01,
+5.930434783e+07,+7.198791474e-01,
+5.947826087e+07,+7.255249262e-01,
+5.965217391e+07,+7.256324746e-01,
+5.982608696e+07,+7.252730862e-01,
+6.000000000e+07,+7.378117410e-01,
+6.017391304e+07,+7.421217895e-01,
+6.034782609e+07,+7.444743066e-01,
+6.052173913e+07,+7.490374010e-01,
+6.069565217e+07,+7.506504042e-01,
+6.086956522e+07,+7.530140827e-01,
+6.104347826e+07,+7.614895163e-01,
+6.121739130e+07,+7.631393053e-01,
+6.139130435e+07,+7.649788550e-01,
+6.156521739e+07,+7.720549065e-01,
+6.173913043e+07,+7.820397051e-01,
+6.191304348e+07,+7.807126773e-01,
+6.208695652e+07,+7.876145835e-01,
+6.226086957e+07,+7.931978503e-01,
+6.243478261e+07,+8.008756823e-01,
+6.260869565e+07,+8.048970631e-01,
+6.278260870e+07,+8.120737565e-01,
+6.295652174e+07,+8.222575382e-01,
+6.313043478e+07,+8.315562457e-01,
+6.330434783e+07,+8.408057419e-01,
+6.347826087e+07,+8.521434314e-01,
+6.365217391e+07,+8.776431587e-01,
+6.382608696e+07,+9.034711581e-01,
+6.400000000e+07,+1.101664842e+00,
+6.417391304e+07,+1.088965660e+00,
+6.434782609e+07,+1.074950249e+00,
+6.452173913e+07,+1.070648604e+00,
+6.469565217e+07,+1.056737592e+00,
+6.486956522e+07,+1.050105135e+00,
+6.504347826e+07,+1.077082949e+00,
+6.521739130e+07,+1.045836311e+00,
+6.539130435e+07,+1.033298056e+00,
+6.556521739e+07,+1.024439470e+00,
+6.573913043e+07,+1.019813555e+00,
+6.591304348e+07,+1.009885779e+00,
+6.608695652e+07,+1.003548262e+00,
+6.626086957e+07,+1.007312184e+00,
+6.643478261e+07,+9.935364072e-01,
+6.660869565e+07,+9.790923035e-01,
+6.678260870e+07,+9.830653817e-01,
+6.695652174e+07,+9.719326487e-01,
+6.713043478e+07,+9.628037112e-01,
+6.730434783e+07,+9.612915296e-01,
+6.747826087e+07,+9.541157904e-01,
+6.765217391e+07,+9.362829475e-01,
+6.782608696e+07,+9.390855539e-01,
+6.800000000e+07,+9.366040468e-01,
+6.817391304e+07,+9.249007843e-01,
+6.834782609e+07,+9.197159993e-01,
+6.852173913e+07,+8.979964459e-01,
+6.869565217e+07,+8.911280118e-01,
+6.886956522e+07,+8.920613271e-01,
+6.904347826e+07,+8.795334924e-01,
+6.921739130e+07,+8.756509321e-01,
+6.939130435e+07,+8.651542196e-01,
+6.956521739e+07,+8.596705930e-01,
+6.973913043e+07,+8.547165149e-01,
+6.991304348e+07,+8.464399910e-01,
+7.008695652e+07,+8.467960090e-01,
+7.026086957e+07,+8.427416379e-01,
+7.043478261e+07,+8.348228352e-01,
+7.060869565e+07,+8.279843766e-01,
+7.078260870e+07,+8.214138493e-01,
+7.095652174e+07,+8.172288298e-01,
+7.113043478e+07,+8.157656855e-01,
+7.130434783e+07,+8.014027490e-01,
+7.147826087e+07,+8.032643265e-01,
+7.165217391e+07,+7.954505728e-01,
+7.182608696e+07,+7.943224536e-01,
+7.200000000e+07,+7.890141551e-01,
+7.217391304e+07,+7.779287001e-01,
+7.234782609e+07,+7.666707998e-01,
+7.252173913e+07,+7.732860460e-01,
+7.269565217e+07,+7.645185523e-01,
+7.286956522e+07,+7.575682984e-01,
+7.304347826e+07,+7.575124049e-01,
+7.321739130e+07,+7.476245160e-01,
+7.339130435e+07,+7.423141116e-01,
+7.356521739e+07,+7.392775073e-01,
+7.373913043e+07,+7.312271060e-01,
+7.391304348e+07,+7.218555563e-01,
+7.408695652e+07,+7.596174055e-01,
+7.426086957e+07,+7.257679286e-01,
+7.443478261e+07,+7.121246585e-01,
+7.460869565e+07,+7.005509179e-01,
+7.478260870e+07,+6.913534158e-01,
+7.495652174e+07,+6.850218247e-01,
+7.513043478e+07,+6.841264787e-01,
+7.530434783e+07,+6.737832167e-01,
+7.547826087e+07,+6.698609407e-01,
+7.565217391e+07,+6.691323302e-01,
+7.582608696e+07,+6.655422143e-01,
+7.600000000e+07,+6.580499251e-01,
+7.617391304e+07,+6.515761985e-01,
+7.634782609e+07,+6.697485689e-01,
+7.652173913e+07,+6.420582773e-01,
+7.669565217e+07,+6.396725068e-01,
+7.686956522e+07,+6.298237340e-01,
+7.704347826e+07,+6.251382215e-01,
+7.721739130e+07,+6.181291452e-01,
+7.739130435e+07,+6.114252504e-01,
+7.756521739e+07,+6.020922987e-01,
+7.773913043e+07,+5.990554815e-01,
+7.791304348e+07,+5.886756675e-01,
+7.808695652e+07,+5.834553150e-01,
+7.826086957e+07,+5.724549858e-01,
+7.843478261e+07,+5.645271621e-01,
+7.860869565e+07,+5.855538731e-01,
+7.878260870e+07,+5.525725207e-01,
+7.895652174e+07,+5.388326232e-01,
+7.913043478e+07,+5.308240436e-01,
+7.930434783e+07,+5.200997965e-01,
+7.947826087e+07,+5.105577499e-01,
+7.965217391e+07,+5.015409542e-01,
+7.982608696e+07,+4.930168176e-01,
+8.000000000e+07,+4.832260080e-01,
