Machine Module,N9343C,CN0605A247
+2.660869565e+07,+3.831652976e-01,
+2.678260870e+07,+3.808508960e-01,
+2.695652174e+07,+3.802004840e-01,
+2.713043478e+07,+3.799468252e-01,
+2.730434783e+07,+3.784003772e-01,
+2.747826087e+07,+3.772647831e-01,
+2.765217391e+07,+3.803536751e-01,
+2.782608696e+07,+3.794678873e-01,
+2.800000000e+07,+3.781239429e-01,
+2.817391304e+07,+3.780939484e-01,
+2.834782609e+07,+3.774264467e-01,
+2.852173913e+07,+3.768351494e-01,
+2.869565217e+07,+3.767056682e-01,
+2.886956522e+07,+3.766171046e-01,
+2.904347826e+07,+3.745977045e-01,
+2.921739130e+07,+3.768487413e-01,
+2.939130435e+07,+3.754274796e-01,
+2.956521739e+07,+3.744592890e-01,
+2.973913043e+07,+3.756094704e-01,
+2.991304348e+07,+3.758238164e-01,
+3.008695652e+07,+3.743955676e-01,
+3.026086957e+07,+3.764816219e-01,
+3.043478261e+07,+3.759106456e-01,
+3.060869565e+07,+3.755269987e-01,
+3.078260870e+07,+3.771339120e-01,
+3.095652174e+07,+3.769333035e-01,
+3.113043478e+07,+3.765757353e-01,
+3.130434783e+07,+3.783503582e-01,
+3.147826087e+07,+3.779692013e-01,
+3.165217391e+07,+3.780166796e-01,
+3.182608696e+07,+3.789562655e-01,
+3.200000000e+07,+3.802469901e-01,
+3.217391304e+07,+3.801335110e-01,
+3.234782609e+07,+3.837883546e-01,
+3.252173913e+07,+3.844327691e-01,
+3.269565217e+07,+3.853921109e-01,
+3.286956522e+07,+3.894576501e-01,
+3.304347826e+07,+3.899027878e-01,
+3.321739130e+07,+3.908129552e-01,
+3.339130435e+07,+3.961085678e-01,
+3.356521739e+07,+3.975309247e-01,
+3.373913043e+07,+3.970957165e-01,
+3.391304348e+07,+4.016923863e-01,
+3.408695652e+07,+4.025133847e-01,
+3.426086957e+07,+4.047213546e-01,
+3.443478261e+07,+4.097100989e-01,
+3.460869565e+07,+4.109438069e-01,
+3.478260870e+07,+4.132026716e-01,
+3.495652174e+07,+4.213545144e-01,
+3.513043478e+07,+4.249747885e-01,
+3.530434783e+07,+4.267028628e-01,
+3.547826087e+07,+4.312368621e-01,
+3.565217391e+07,+4.341128579e-01,
+3.582608696e+07,+4.366761274e-01,
+3.600000000e+07,+4.428413439e-01,
+3.617391304e+07,+4.457641172e-01,
+3.634782609e+07,+4.484264123e-01,
+3.652173913e+07,+4.562877919e-01,
+3.669565217e+07,+4.599649294e-01,
+3.686956522e+07,+4.615786483e-01,
+3.704347826e+07,+4.709816832e-01,
+3.721739130e+07,+4.746773422e-01,
+3.739130435e+07,+4.777071849e-01,
+3.756521739e+07,+4.851146164e-01,
+3.773913043e+07,+4.911088763e-01,
+3.791304348e+07,+4.944811253e-01,
+3.808695652e+07,+5.034728398e-01,
+3.826086957e+07,+5.107064070e-01,
+3.843478261e+07,+5.156359095e-01,
+3.860869565e+07,+5.250561170e-01,
+3.878260870e+07,+5.325217757e-01,
+3.895652174e+07,+5.387568721e-01,
+3.913043478e+07,+5.459413113e-01,
+3.930434783e+07,+5.527003675e-01,
+3.947826087e+07,+5.570135200e-01,
+3.965217391e+07,+5.661019801e-01,
+3.982608696e+07,+5.743393383e-01,
+4.000000000e+07,+5.781038211e-01,
+4.017391304e+07,+5.939613139e-01,
+4.034782609e+07,+6.013407985e-01,
+4.052173913e+07,+6.074657289e-01,
+4.069565217e+07,+6.192685439e-01,
+4.086956522e+07,+6.235810620e-01,
+4.104347826e+07,+6.281204072e-01,
+4.121739130e+07,+6.406180544e-01,
+4.139130435e+07,+6.438126898e-01,
+4.156521739e+07,+6.458918619e-01,
+4.173913043e+07,+6.502112812e-01,
+4.191304348e+07,+6.520720901e-01,
+4.208695652e+07,+6.510705331e-01,
+4.226086957e+07,+6.520620669e-01,
+4.243478261e+07,+6.483099397e-01,
+4.260869565e+07,+6.430899582e-01,
+4.278260870e+07,+6.362897034e-01,
+4.295652174e+07,+6.284736072e-01,
+4.313043478e+07,+6.183646241e-01,
+4.330434783e+07,+6.099665381e-01,
+4.347826087e+07,+5.999039716e-01,
+4.365217391e+07,+5.830657624e-01,
+4.382608696e+07,+5.774986021e-01,
+4.400000000e+07,+5.596721340e-01,
+4.417391304e+07,+5.473096425e-01,
+4.434782609e+07,+5.345485215e-01,
+4.452173913e+07,+5.197904092e-01,
+4.469565217e+07,+5.035071970e-01,
+4.486956522e+07,+4.905008006e-01,
+4.504347826e+07,+4.796675908e-01,
+4.521739130e+07,+4.635024835e-01,
+4.539130435e+07,+4.539659184e-01,
+4.556521739e+07,+4.371797224e-01,
+4.573913043e+07,+4.242428272e-01,
+4.591304348e+07,+4.159235720e-01,
+4.608695652e+07,+4.036100767e-01,
+4.626086957e+07,+3.911860178e-01,
+4.643478261e+07,+3.831817683e-01,
+4.660869565e+07,+3.705958262e-01,
+4.678260870e+07,+3.626785743e-01,
+4.695652174e+07,+3.544307149e-01,
+4.713043478e+07,+3.457999689e-01,
+4.730434783e+07,+3.359571176e-01,
+4.747826087e+07,+3.277030120e-01,
+4.765217391e+07,+3.212432011e-01,
+4.782608696e+07,+3.147016140e-01,
+4.800000000e+07,+3.078538464e-01,
+4.817391304e+07,+2.989712637e-01,
+4.834782609e+07,+2.935376244e-01,
+4.852173913e+07,+2.893846016e-01,
+4.869565217e+07,+2.807232310e-01,
+4.886956522e+07,+2.741877144e-01,
+4.904347826e+07,+2.723374386e-01,
+4.921739130e+07,+2.655103352e-01,
+4.939130435e+07,+2.597582158e-01,
+4.956521739e+07,+2.566104920e-01,
+4.973913043e+07,+2.521048024e-01,
+4.991304348e+07,+2.462046245e-01,
+5.008695652e+07,+2.459525969e-01,
+5.026086957e+07,+2.413906785e-01,
+5.043478261e+07,+2.388147926e-01,
+5.060869565e+07,+2.351954313e-01,
+5.078260870e+07,+2.309887041e-01,
+5.095652174e+07,+2.247497757e-01,
+5.113043478e+07,+2.219487751e-01,
+5.130434783e+07,+2.194639311e-01,
+5.147826087e+07,+2.146113327e-01,
+5.165217391e+07,+2.107841998e-01,
+5.182608696e+07,+2.078155845e-01,
+5.200000000e+07,+2.036031133e-01,
+5.217391304e+07,+1.994932015e-01,
+5.234782609e+07,+1.960383560e-01,
+5.252173913e+07,+1.907824781e-01,
+5.269565217e+07,+1.897070322e-01,
+5.286956522e+07,+1.862409083e-01,
+5.304347826e+07,+1.820120680e-01,
+5.321739130e+07,+1.789832967e-01,
+5.339130435e+07,+1.753224607e-01,
+5.356521739e+07,+1.727545703e-01,
+5.373913043e+07,+1.689763968e-01,
+5.391304348e+07,+1.674446044e-01,
+5.408695652e+07,+1.634351770e-01,
+5.426086957e+07,+1.610443265e-01,
+5.443478261e+07,+1.586412452e-01,
+5.460869565e+07,+1.569106120e-01,
+5.478260870e+07,+1.551778663e-01,
+5.495652174e+07,+1.527289099e-01,
+5.513043478e+07,+1.511482504e-01,
+5.530434783e+07,+1.505345100e-01,
+5.547826087e+07,+1.472798692e-01,
+5.565217391e+07,+1.459386695e-01,
+5.582608696e+07,+1.441875059e-01,
+5.600000000e+07,+1.425130017e-01,
+5.617391304e+07,+1.416019966e-01,
+5.634782609e+07,+1.403518271e-01,
+5.652173913e+07,+1.390293202e-01,
+5.669565217e+07,+1.386132749e-01,
+5.686956522e+07,+1.371099803e-01,
+5.704347826e+07,+1.354083739e-01,
+5.721739130e+07,+1.335945369e-01,
+5.739130435e+07,+1.334873633e-01,
+5.756521739e+07,+1.315326113e-01,
+5.773913043e+07,+1.306829013e-01,
+5.791304348e+07,+1.306350437e-01,
+5.808695652e+07,+1.296828733e-01,
+5.826086957e+07,+1.283514373e-01,
+5.843478261e+07,+1.283916353e-01,
+5.860869565e+07,+1.275430018e-01,
+5.878260870e+07,+1.266053059e-01,
+5.895652174e+07,+1.264952044e-01,
+5.913043478e+07,+1.259168740e-01,
+5.930434783e+07,+1.244913920e-01,
+5.947826087e+07,+1.238519264e-01,
+5.965217391e+07,+1.235440063e-01,
+5.982608696e+07,+1.234660615e-01,
+6.000000000e+07,+1.241454011e-01,
+6.017391304e+07,+1.234274938e-01,
+6.034782609e+07,+1.219810916e-01,
+6.052173913e+07,+1.224782528e-01,
+6.069565217e+07,+1.205742022e-01,
+6.086956522e+07,+1.204230070e-01,
+6.104347826e+07,+1.212562142e-01,
+6.121739130e+07,+1.192436579e-01,
+6.139130435e+07,+1.195349602e-01,
+6.156521739e+07,+1.192026921e-01,
+6.173913043e+07,+1.184902469e-01,
+6.191304348e+07,+1.184425368e-01,
+6.208695652e+07,+1.167602171e-01,
+6.226086957e+07,+1.164358792e-01,
+6.243478261e+07,+1.162079499e-01,
+6.260869565e+07,+1.152707371e-01,
+6.278260870e+07,+1.148075089e-01,
+6.295652174e+07,+1.140708352e-01,
+6.313043478e+07,+1.129543899e-01,
+6.330434783e+07,+1.123234561e-01,
+6.347826087e+07,+1.115499397e-01,
+6.365217391e+07,+1.121592622e-01,
+6.382608696e+07,+1.103045415e-01,
+6.400000000e+07,+1.097318761e-01,
+6.417391304e+07,+1.102938662e-01,
+6.434782609e+07,+1.086233531e-01,
+6.452173913e+07,+1.069111296e-01,
+6.469565217e+07,+1.066779780e-01,
+6.486956522e+07,+1.063015094e-01,
+6.504347826e+07,+1.054311101e-01,
+6.521739130e+07,+1.047650679e-01,
+6.539130435e+07,+1.041236381e-01,
+6.556521739e+07,+1.024521471e-01,
+6.573913043e+07,+1.019082085e-01,
+6.591304348e+07,+1.015647185e-01,
+6.608695652e+07,+1.000769769e-01,
+6.626086957e+07,+1.001679386e-01,
+6.643478261e+07,+9.937955205e-02,
+6.660869565e+07,+9.836210337e-02,
+6.678260870e+07,+9.826446275e-02,
+6.695652174e+07,+9.757844242e-02,
+6.713043478e+07,+9.672025669e-02,
+6.730434783e+07,+9.622382134e-02,
+6.747826087e+07,+9.537044424e-02,
+6.765217391e+07,+9.528223315e-02,
+6.782608696e+07,+9.654833163e-02,
+6.800000000e+07,+9.549281147e-02,
+6.817391304e+07,+9.467896891e-02,
+6.834782609e+07,+9.404490590e-02,
+6.852173913e+07,+9.286383576e-02,
+6.869565217e+07,+9.200586915e-02,
+6.886956522e+07,+9.188977108e-02,
+6.904347826e+07,+9.113997715e-02,
+6.921739130e+07,+9.002827419e-02,
+6.939130435e+07,+8.970455944e-02,
+6.956521739e+07,+8.941402692e-02,
+6.973913043e+07,+8.875529088e-02,
+6.991304348e+07,+8.875244540e-02,
+7.008695652e+07,+8.800356985e-02,
+7.026086957e+07,+8.761524604e-02,
+7.043478261e+07,+8.817343472e-02,
+7.060869565e+07,+8.779512807e-02,
+7.078260870e+07,+8.835422023e-02,
+7.095652174e+07,+8.850852189e-02,
+7.113043478e+07,+8.832196085e-02,
+7.130434783e+07,+8.746192550e-02,
+7.147826087e+07,+8.728147076e-02,
+7.165217391e+07,+8.686814463e-02,
+7.182608696e+07,+8.607791418e-02,
+7.200000000e+07,+8.512519736e-02,
+7.217391304e+07,+8.486796290e-02,
+7.234782609e+07,+8.459733043e-02,
+7.252173913e+07,+8.481982038e-02,
+7.269565217e+07,+8.370196038e-02,
+7.286956522e+07,+8.281892204e-02,
+7.304347826e+07,+8.253747667e-02,
+7.321739130e+07,+8.121366184e-02,
+7.339130435e+07,+8.111571508e-02,
+7.356521739e+07,+8.124346765e-02,
+7.373913043e+07,+8.033130999e-02,
+7.391304348e+07,+7.999483527e-02,
+7.408695652e+07,+7.963042270e-02,
+7.426086957e+07,+7.871295117e-02,
+7.443478261e+07,+7.723312161e-02,
+7.460869565e+07,+7.712501112e-02,
+7.478260870e+07,+7.628564006e-02,
+7.495652174e+07,+7.653183399e-02,
+7.513043478e+07,+7.612078083e-02,
+7.530434783e+07,+7.518527773e-02,
+7.547826087e+07,+7.418251733e-02,
+7.565217391e+07,+7.348576959e-02,
+7.582608696e+07,+7.248295923e-02,
+7.600000000e+07,+7.183668115e-02,
+7.617391304e+07,+7.147501239e-02,
+7.634782609e+07,+7.052698645e-02,
+7.652173913e+07,+6.951115365e-02,
+7.669565217e+07,+6.919265287e-02,
+7.686956522e+07,+6.759392134e-02,
+7.704347826e+07,+6.656771952e-02,
+7.721739130e+07,+6.591197492e-02,
+7.739130435e+07,+6.387645428e-02,
+7.756521739e+07,+6.384569405e-02,
+7.773913043e+07,+6.299733276e-02,
+7.791304348e+07,+6.167142941e-02,
+7.808695652e+07,+6.059820638e-02,
+7.826086957e+07,+6.040497351e-02,
+7.843478261e+07,+5.942539381e-02,
+7.860869565e+07,+5.886219590e-02,
+7.878260870e+07,+5.834380829e-02,
+7.895652174e+07,+5.719171527e-02,
+7.913043478e+07,+5.673032916e-02,
+7.930434783e+07,+5.584852345e-02,
+7.947826087e+07,+5.553360780e-02,
+7.965217391e+07,+5.387182760e-02,
+7.982608696e+07,+5.392875901e-02,
+8.000000000e+07,+5.267549495e-02,
